Gene;Entrez;NumSucc;NumTrials;Average;PVal;CumPosition;QValue
C1QA;712;42;92;0,92039292;3,54E-22;1;7,92E-18
GPNMB;10457;42;95;0,92039292;1,64E-21;2;1,84E-17
B2M;567;46;120;0,92039292;2,55E-20;3;1,90E-16
EFEMP1;2202;40;94;0,92039292;8,06E-20;4;4,51E-16
C1QC;714;39;95;0,92039292;1,07E-18;5;4,78E-15
C1QB;713;43;116;0,92039292;1,89E-18;6;7,07E-15
SKAP2;8935;42;126;0,92039292;3,99E-16;7;1,28E-12
IL33;90865;35;95;0,92039292;3,30E-15;8;9,24E-12
PLEK;5341;35;97;0,92039292;6,92E-15;9;1,72E-11
C3;718;35;97;0,92039292;6,92E-15;10;1,55E-11
CD53;963;37;108;0,92039292;8,07E-15;11;1,64E-11
LGALS3;3958;34;102;0,92039292;2,40E-13;12;4,48E-10
ANXA5;308;37;119;0,92039292;2,51E-13;13;4,33E-10
CSF1R;1436;33;98;0,92039292;3,86E-13;14;6,18E-10
CD74;972;34;104;0,92039292;4,53E-13;15;6,77E-10
TMEM176B;28959;35;110;0,92039292;5,12E-13;16;7,16E-10
GRN;2896;36;118;0,92039292;9,88E-13;17;1,30E-09
ANXA3;306;35;114;0,92039292;1,65E-12;18;2,05E-09
LCP1;3936;34;112;0,92039292;4,85E-12;19;5,72E-09
S100A6;6277;34;113;0,92039292;6,40E-12;20;7,17E-09
TYROBP;7305;30;92;0,92039292;1,12E-11;21;1,20E-08
PTGS1;5742;32;104;0,92039292;1,36E-11;22;1,38E-08
FYB;2533;33;110;0,92039292;1,42E-11;23;1,38E-08
CP;1356;34;116;0,92039292;1,44E-11;24;1,35E-08
EHD4;30844;33;111;0,92039292;1,86E-11;25;1,67E-08
PTPRC;5788;32;106;0,92039292;2,38E-11;26;2,05E-08
LAPTM5;7805;34;118;0,92039292;2,43E-11;27;2,02E-08
VIM;7431;34;118;0,92039292;2,43E-11;28;1,95E-08
OSMR;9180;30;96;0,92039292;3,76E-11;29;2,90E-08
TMEM176A;55365;32;109;0,92039292;5,38E-11;30;4,02E-08
HLA-DRA;3122;23;60;0,92039292;6,60E-11;31;4,77E-08
VAT1;10493;30;99;0,92039292;8,86E-11;32;6,20E-08
PRNP;5621;33;117;0,92039292;8,87E-11;33;6,02E-08
NDRG1;10397;32;112;0,92039292;1,17E-10;34;7,74E-08
TPP1;1200;32;112;0,92039292;1,17E-10;35;7,52E-08
MSN;4478;33;119;0,92039292;1,45E-10;36;9,04E-08
AHNAK;79026;31;107;0,92039292;1,54E-10;37;9,34E-08
CASP1;834;30;102;0,92039292;2,01E-10;38;1,18E-07
CAPG;822;32;115;0,92039292;2,48E-10;39;1,43E-07
CD163;9332;27;86;0,92039292;3,10E-10;40;1,74E-07
SERPING1;710;32;116;0,92039292;3,17E-10;41;1,73E-07
GBP2;2634;22;59;0,92039292;3,20E-10;42;1,71E-07
CTSZ;1522;29;98;0,92039292;3,40E-10;43;1,77E-07
PLEKHB1;58473;28;93;0,92039292;4,37E-10;44;2,22E-07
CYBA;1535;32;119;0,92039292;6,45E-10;45;3,21E-07
FMNL2;114793;24;73;0,92039292;1,02E-09;46;4,99E-07
MGST1;4257;31;115;0,92039292;1,11E-09;47;5,28E-07
CTSS;1520;24;74;0,92039292;1,40E-09;48;6,54E-07
ITGB2;3689;20;53;0,92039292;1,58E-09;49;7,23E-07
NFE2L2;4780;32;123;0,92039292;1,59E-09;50;7,14E-07
S100A4;6275;29;105;0,92039292;2,03E-09;51;8,92E-07
RRAS;6237;28;99;0,92039292;2,12E-09;52;9,15E-07
CLEC7A;64581;25;82;0,92039292;2,75E-09;53;1,16E-06
TREM2;54209;25;84;0,92039292;4,78E-09;54;1,98E-06
CYBB;1536;30;116;0,92039292;5,89E-09;55;2,40E-06
ASAH1;427;30;116;0,92039292;5,89E-09;56;2,36E-06
FCER1G;2207;29;110;0,92039292;6,52E-09;57;2,56E-06
CDKN1A;1026;28;104;0,92039292;7,11E-09;58;2,75E-06
PSMB9;5698;28;104;0,92039292;7,11E-09;59;2,70E-06
ANXA4;307;30;118;0,92039292;9,07E-09;60;3,39E-06
STAT3;6774;31;125;0,92039292;9,81E-09;61;3,60E-06
PLA1A;51365;25;87;0,92039292;1,06E-08;62;3,82E-06
ARHGDIB;397;27;100;0,92039292;1,22E-08;63;4,35E-06
CD68;968;26;94;0,92039292;1,31E-08;64;4,58E-06
CTNNA1;1495;30;120;0,92039292;1,38E-08;65;4,75E-06
LGALS3BP;3959;29;116;0,92039292;2,38E-08;66;8,09E-06
UPP1;7378;28;110;0,92039292;2,70E-08;67;9,04E-06
RNASE4;6038;25;91;0,92039292;2,86E-08;68;9,43E-06
APOD;347;24;85;0,92039292;3,01E-08;69;9,76E-06
C3AR1;719;27;104;0,92039292;3,03E-08;70;9,70E-06
S100A9;6280;27;105;0,92039292;3,77E-08;71;1,19E-05
FGL2;10875;26;99;0,92039292;4,19E-08;72;1,31E-05
C1R;715;19;57;0,92039292;4,27E-08;73;1,31E-05
MRC1;4360;24;87;0,92039292;4,92E-08;74;1,49E-05
SLC44A1;23446;26;100;0,92039292;5,24E-08;75;1,56E-05
ARL11;115761;20;64;0,92039292;6,49E-08;76;1,91E-05
LY86;9450;26;101;0,92039292;6,52E-08;77;1,90E-05
VWF;7450;26;102;0,92039292;8,09E-08;78;2,32E-05
MVP;9961;28;116;0,92039292;9,21E-08;79;2,61E-05
RPL3;6122;29;123;0,92039292;9,50E-08;80;2,66E-05
SAT1;6303;27;110;0,92039292;1,07E-07;81;2,96E-05
CD44;960;27;110;0,92039292;1,07E-07;82;2,93E-05
GNS;2799;21;72;0,92039292;1,16E-07;83;3,14E-05
GDA;9615;26;104;0,92039292;1,23E-07;84;3,29E-05
UNC93B1;81622;24;91;0,92039292;1,25E-07;85;3,30E-05
SFRP1;6422;25;98;0,92039292;1,40E-07;86;3,65E-05
MYO1F;4542;24;92;0,92039292;1,57E-07;87;4,04E-05
CYB5R3;1727;28;119;0,92039292;1,64E-07;88;4,17E-05
SLC15A3;51296;23;87;0,92039292;2,17E-07;89;5,46E-05
TLR2;7097;23;87;0,92039292;2,17E-07;90;5,40E-05
FAH;2184;26;108;0,92039292;2,75E-07;91;6,78E-05
LAMP1;3916;27;115;0,92039292;2,83E-07;92;6,89E-05
ARPC1B;10095;28;122;0,92039292;2,85E-07;93;6,86E-05
CHI3L1;1116;22;82;0,92039292;2,98E-07;94;7,11E-05
MYOF;26509;26;110;0,92039292;4,05E-07;95;9,54E-05
ACER2;340485;21;77;0,92039292;4,08E-07;96;9,51E-05
UAP1L1;91373;23;90;0,92039292;4,20E-07;97;9,70E-05
FAM46C;54855;24;97;0,92039292;4,54E-07;98;0,00010379
HSPB1;3315;25;104;0,92039292;4,77E-07;99;0,00010784
TGM2;7052;26;111;0,92039292;4,88E-07;100;0,000109398
CD9;928;27;118;0,92039292;4,90E-07;101;0,000108776
MT1E;4493;12;28;0,92039292;5,84E-07;102;0,000128245
GUSB;2990;25;106;0,92039292;6,99E-07;103;0,000152134
SPP1;6696;26;113;0,92039292;7,06E-07;104;0,000152014
LAMP2;3920;27;121;0,92039292;8,32E-07;105;0,00017746
ANXA1;301;27;121;0,92039292;8,32E-07;106;0,000175786
ARHGAP30;257106;23;94;0,92039292;9,64E-07;107;0,000201818
