Gene;Entrez;NumSucc;NumTrials;Average;PVal;CumPosition;QValue
UQCRFS1;7386;21;60;0,922372816;1,96E-09;1;2,20E-05
SUCLG1;8802;30;117;0,922372816;4,11E-09;2;2,31E-05
MLF1;4291;25;90;0,922372816;1,37E-08;3;5,10E-05
UROS;7390;28;115;0,922372816;4,46E-08;4;0,000125162
FKBP4;2288;29;122;0,922372816;4,58E-08;5;0,000102661
VLDLR;7436;28;119;0,922372816;9,75E-08;6;0,000182174
TFRC;7037;27;119;0,922372816;3,58E-07;7;0,000573918
VPS36;51028;23;94;0,922372816;6,24E-07;8;0,000874107
COX7B;1349;12;29;0,922372816;7,06E-07;9;0,000879234
ATP5G3;518;25;109;0,922372816;7,69E-07;10;0,000862703
COL5A1;1289;26;117;0,922372816;8,93E-07;11;0,00091073
MTCH2;23788;24;105;0,922372816;1,35E-06;12;0,001264338
DLAT;1737;24;105;0,922372816;1,35E-06;13;0,001167081
COL1A1;1277;26;120;0,922372816;1,49E-06;14;0,001191369
NDUFS3;4722;25;115;0,922372816;2,20E-06;15;0,001642515
CA4;762;24;108;0,922372816;2,31E-06;16;0,001615825
RNF144A;9781;21;89;0,922372816;3,52E-06;17;0,002323579
NDUFB5;4711;25;118;0,922372816;3,59E-06;18;0,002238592
FAM162A;26355;18;69;0,922372816;3,76E-06;19;0,002221719
SOX4;6659;19;76;0,922372816;4,06E-06;20;0,00227935
KCNJ11;3767;21;90;0,922372816;4,26E-06;21;0,002274245
HMGCS1;3157;25;120;0,922372816;4,93E-06;22;0,002513967
PDHX;8050;23;106;0,922372816;5,68E-06;23;0,002768422
ITM2A;9452;22;99;0,922372816;5,97E-06;24;0,002788735
SPARC;6678;24;114;0,922372816;6,25E-06;25;0,002803004
COL4A5;1287;24;114;0,922372816;6,25E-06;26;0,002695196
ELN;2006;22;100;0,922372816;7,09E-06;27;0,002945621
FH;2271;24;115;0,922372816;7,32E-06;28;0,002930658
UBL4A;8266;15;53;0,922372816;8,08E-06;29;0,00312385
PGK1;5230;11;30;0,922372816;8,35E-06;30;0,003121399
COL15A1;1306;17;66;0,922372816;8,35E-06;31;0,003021573
CISD1;55847;23;109;0,922372816;9,27E-06;32;0,003248885
CYC1;1537;24;118;0,922372816;1,16E-05;33;0,00393996
HSPH1;10808;24;119;0,922372816;1,35E-05;34;0,00443899
DLD;1738;24;120;0,922372816;1,56E-05;35;0,004995131
