Category,Observed_Count,Expected_Count,Observed_Percentage,Baseline_Percentage,Fold_Change,P_Value_Over,P_Value_Under,P_Value_Over_FDR,P_Value_Under_FDR,Significant_Over,Significant_Under,Significant_FDR,Representation_Type
All living organisms,396,5003,36.53136531365313,25.450198392511954,1.4354059151225134,6.427565340461805e-17,1.0,1.221237414687743e-15,1.0,True,False,True,Over-represented
Eukaryota,96,1616,8.856088560885608,8.220571777393427,1.0773080998136713,0.23163585818453922,0.8008890821922818,0.8802162611012491,1.0,False,False,False,Not significant
Opisthokonta,60,835,5.535055350553505,4.247634550819005,1.3030912345051593,0.02152577283407438,0.9848532140790622,0.13632989461580441,1.0,False,False,False,Not significant
Holozoa,21,343,1.9372693726937271,1.7448367077016989,1.1102869191957228,0.3417935511526688,0.7383624985542968,1.0,1.0,False,False,False,Not significant
Metazoa,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Eumetazoa,156,2088,14.391143911439114,10.621629870790517,1.35489035924842,4.2207745711146395e-05,0.9999714883913826,0.0004009735842558908,1.0,True,False,True,Over-represented
Bilateria,79,1167,7.287822878228782,5.936514396174585,1.2276265821784182,0.033475325907065465,0.9747939474991059,0.15900779805856097,1.0,False,False,False,Not significant
Deuterostomia,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Chordata,20,406,1.8450184501845017,2.0653169193203786,0.8933343028011561,0.7309081310005343,0.34885023257378917,1.0,0.7364616021002216,False,False,False,Not significant
Olfactores,3,86,0.27675276752767525,0.4374809237969275,0.6326053376812837,0.8600017758033047,0.294836568327341,1.0,0.7002368497774349,False,False,False,Not significant
Craniata,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Euteleostomi,193,3652,17.804428044280442,18.577678298911383,0.9583774548041208,0.761113943609057,0.26476415878816567,1.0,0.7002368497774349,False,False,False,Not significant
Tetrapoda,11,488,1.014760147601476,2.482449893173263,0.4087736676547093,0.9998900389626287,0.00029868076239621317,1.0,0.00113498689710561,False,True,True,Under-represented
Amniota,9,411,0.8302583025830259,2.0907518567504324,0.39710992000430956,0.9997487215238863,0.0007071078409914008,1.0,0.0022391748298061023,False,True,True,Under-represented
Mammalia,20,1244,1.8450184501845017,6.328212432597416,0.29155444287561844,0.9999999999998594,5.382216873763401e-13,1.0,3.4087373533834873e-12,False,True,True,Under-represented
Eutheria,0,1,0.0,0.005086987486010784,0.0,1.0,0.9448570556516431,1.0,1.0,False,False,False,Not significant
Boreoeutheria,17,1168,1.5682656826568264,5.941601383660596,0.26394663347318403,0.9999999999999382,2.619036333695368e-13,1.0,2.4880845170105995e-12,False,True,True,Under-represented
Euarchontoglires,2,275,0.18450184501845018,1.3989215586529657,0.13188862797718887,0.9999974033150851,2.243107996118979e-05,1.0,0.0001065476298156515,False,True,True,Under-represented
Primates,1,875,0.09225092250922509,4.451114050259437,0.02072535582498682,1.0,4.718923580091043e-21,1.0,8.965954802172982e-20,False,True,True,Under-represented
