Category,Observed_Count,Expected_Count,Observed_Percentage,Baseline_Percentage,Fold_Change,P_Value_Over,P_Value_Under,P_Value_Over_FDR,P_Value_Under_FDR,Significant_Over,Significant_Under,Significant_FDR,Representation_Type
All living organisms,426,5003,27.448453608247426,25.450198392511954,1.078516292286484,0.0326591821134496,0.9714726643038637,0.20684148671851413,1.0,False,False,False,Not significant
Eukaryota,125,1616,8.054123711340207,8.220571777393427,0.9797522519648872,0.6127643211953486,0.42476742059519534,1.0,1.0,False,False,False,Not significant
Opisthokonta,75,835,4.832474226804124,4.247634550819005,1.1376859682696463,0.13113115873566017,0.8938611860107818,0.5604952341051825,1.0,False,False,False,Not significant
Holozoa,45,343,2.899484536082474,1.7448367077016989,1.661751224790358,0.0005294679563605774,0.9997174115368155,0.005029945585425485,1.0,True,False,True,Over-represented
Metazoa,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Eumetazoa,170,2088,10.95360824742268,10.621629870790517,1.031254937393846,0.3418934303845721,0.6887901041608804,0.8180187503291131,1.0,False,False,False,Not significant
Bilateria,102,1167,6.572164948453609,5.936514396174585,1.1070747091405402,0.1474987458171533,0.8761426122035678,0.5604952341051825,1.0,False,False,False,Not significant
Deuterostomia,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Chordata,35,406,2.2551546391752577,2.0653169193203786,1.0919169925346606,0.317514661297889,0.7439806163694824,0.8180187503291131,1.0,False,False,False,Not significant
Olfactores,6,86,0.3865979381443299,0.4374809237969275,0.8836909614001438,0.6821471358181754,0.47625669156541117,1.0,1.0,False,False,False,Not significant
Craniata,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Euteleostomi,398,3652,25.644329896907216,18.577678298911383,1.3803840008581654,4.3633671178166327e-13,0.9999999999997256,8.290397523851602e-12,1.0,True,False,True,Over-represented
Tetrapoda,39,488,2.5128865979381443,2.482449893173263,1.0122607529153287,0.49279668190861603,0.5742928765980555,1.0,1.0,False,False,False,Not significant
Amniota,35,411,2.2551546391752577,2.0907518567504324,1.0786333308249931,0.344428947506995,0.7193768643944465,0.8180187503291131,1.0,False,False,False,Not significant
Mammalia,53,1244,3.4149484536082473,6.328212432597416,0.5396387194616633,0.9999999608187534,7.965852929910384e-08,1.0,3.7837801417074323e-07,False,True,True,Under-represented
Eutheria,0,1,0.0,0.005086987486010784,0.0,1.0,0.9210499542171127,1.0,1.0,False,False,False,Not significant
Boreoeutheria,33,1168,2.1262886597938144,5.941601383660596,0.3578645759779692,0.9999999999999809,5.970949175365382e-14,1.0,5.672401716597113e-13,False,True,True,Under-represented
Euarchontoglires,2,275,0.12886597938144329,1.3989215586529657,0.09211808809746953,0.9999999968185092,3.9569838473619165e-08,1.0,2.5060897699958806e-07,False,True,True,Under-represented
Primates,8,875,0.5154639175257731,4.451114050259437,0.11580559646539026,1.0,3.903053297308669e-22,1.0,7.415801264886471e-21,False,True,True,Under-represented
